Signatur;Kategorie;Schreiber;Empfaenger;Datierung;Ort;Regest;Bemerkungen;Olim;InterneBemerkung;ErfasstVon;ErfasstAm;GeaendertAm;Exportiert;ExportiertAm;ExportHinweis
9.6.116;Brief;Fries, Alfred Baron;Hönigl, Abt Dominikus;18950308;Wien;Baron Fries schickt als Bewohner des Seitenstettnerhofes herzliches Beileid zum Ableben des Stiftshofmeisters P. Gerard Bautraxler.;Postsecretär im k.k. Handels-Ministerium;Autographensammlung A2, Freiherrn A-N;;Maria Prüller;2026-06-01 15:46:44;2026-06-01 16:08:02;Nein;;
9.6.117;Fragment;Gagern, C. Gräfin;;;;;"Fragment eines Briefkuverts mit rotem Lacksiegel, beschriftet: ""C. Gräfin Gagern, Herrin im Sacré coeur Wien""
C. Gräfin Gagern ist höchstwahrscheinlich Clementine von Gagern, die zunächst Oberin in Riedenburg war, dann Provinzialoberin und die sich 1891 gemeinsam mit Erzherzogin Marie Valerie für den Erwerb eines Grundstückes im Wienerwald eingesetzt hat, wo Dank dieses Einsatzes und einer Schenkung Kaiser Franz Josephs 1892 das Sacré Coeur Pressbaum gegründet werden konnte, das sie dann leitete.";Autographensammlung A2, Freiherrn A-N;;Maria Prüller;2026-06-01 16:08:04;2026-06-01 16:39:41;Nein;;
9.6.118;Fragment;Gagern, C. von;;18940524;Pressbaum;Ausdruck vorzüglichster Hochachtung;"Oberin im Sacré coeur Kloster
Vermutlich nur ein Teil eines (eventuell zum Briefkuvertfragment 9.6.117 gehörenden) Briefes.";Autographensammlung A2, Freiherrn A-N;;Maria Prüller;2026-06-01 16:11:48;2026-06-01 16:33:02;Nein;;
9.6.119;Brief;Grote;Habsburg, Leopold Salvator Erzherzog;19090120;Wien, XIII, Penzingerstraße 9;Bitte um Vormerkung zur Audienz bei Ihren Kaiserlichen und Königlichen Hoheiten;"Auf dem Briefpapier ist oben links im Reliefdruck eingedruckt: ""Hofmarschall-Amt S. Königlichen Hoheit des Herzogs von Cumberland Herzog zu Braunschweig  und Lüneburg"" samt Wappen
Genauer Wortlaut des Empfängers: ""An die Kammervorstehung Seiner Kaiserlichen und Königlichen Hoheit des Durchlauchtigsten Erzherzogs Leopold Salvator in Wien""
Der Brief ist in der Mitte in zwei Teile gerissen.";Autographensammlung A2, Freiherrn A-N;;Maria Prüller;2026-06-01 16:40:54;2026-06-01 16:50:31;Nein;;
9.6.120;Fragment;Gudenus, H.;;;;"nur das Autogramm: ""H. Gudenus""";"Handschriftlich (von P. Josef Schock ?) auf das Papier, auf dem die Unterschrift aufgeklebt ist, angemerkt:
""Heinrich Freiherr v. Gudenus, Fideikommißherr, Herrenhausmitglied, geb. 1839, verm. 1872 mit Ernestine Gräfin Thun und Hohenstein (Waidhofen a.d. Thaya)""";Autographensammlung A2, Freiherrn A-N;;Maria Prüller;2026-06-01 16:50:34;2026-06-01 16:54:49;Nein;;
9.6.121;Fragment;Gudenus;;18760307;Thannhausen;;"Unterschrift, Datum und Ortsangabe aus einem Brief
Handschriftlich (von P. Josef Schock?) auf dem Blatt, auf dem die Unterschrift aufgeklebt ist, vermerkt:
""Ernst Ferdinand Freiherr v. Gudenus, geb. 1833, Herr auf Thannhausen, Külbel, Waxenegg u. Fronsperg, Kämmerer, verm. 1866 mit Anna Gräfin Schönborn-Buchheim""";Autographensammlung A2, Freiherrn A-N;;Maria Prüller;2026-06-01 17:09:05;2026-06-01 17:22:15;Nein;;
9.6.122;Brief;Hammer-Purgstall, Gisela v.;;19020820;Schloss Hautzenbichl bei Knittelfeld;Archivbesuch in Hainfeld ist möglich, um dort zu fotografieren, den Termin möge Hochwürden direkt mit ihrem Schwager Baron Heinrich Hammer-Purgstall, k.k. Statthaltereirath in Graz, vereinbaren;;Autographensammlung A2, Freiherrn A-N;;Maria Prüller;2026-06-01 17:22:21;2026-06-01 18:05:17;Nein;;
9.6.123;Karte;Hammerstein;Oberndorfer;18921128;Sitzenthal bei Loosdorf;Bitte um Hinweis zu Mittel gegen Maul- und Klauenseuche (Cresolin oder Creolin?);"Die Karte ist gerichtet an Herrn Oberndorfer,  Bürgermeister und Reichsraths- u. Landtagsabgeordneter in Weistrach bei St. Peter (unter 9.6.78, 9.6.103 und 9.6.125 gibt es weitere Schriftstücke an Herrn Oberndorfer)
Von anderer Hand in Bleistift auf der Karte vermerkt: ""Helge Freiherr v. Hammerstein, gest. 26.4.93, verm. 1867 mit Sophie Gräfin Stolberg-Stolberg (geb. 1839)""";Autographensammlung A2, Freiherrn A-N;;Maria Prüller;2026-06-01 18:05:19;2026-06-01 18:29:38;Nein;;
9.6.124;Fragment;Hammerstein;;18851231;Sitzenthal;;Fragment eines Briefes mit Unterschrift, Ort und Datum;Autographensammlung A2, Freiherrn A-N;;Maria Prüller;2026-06-01 18:15:16;2026-06-01 18:17:58;Nein;;
9.6.125;Karte;Hammerstein;Oberndorfer, I.;18830324;Sitzenthal;Einladung an Herrn Oberndorfer (auf speziellen Wunsch des Grafen Falk) und seines eigenen (Hammersteins) zu einer vertraulichen Sitzung am 29. März 1883 nach St. Pölten und schon am Abend vorher nach Sitzenthal.;"Reichsrathsabgeordneter, Bürgermeister etc. etc.
Unter 9.6.78, 9.6.103 und 9.6.123 gibt es weitere Schriftstücke an Herrn Oberndorfer (von verschiedenen Absendern).
Mit Bleistift auf der Karte vermerkt: ""Baron Hammerstein""";Autographensammlung A2, Freiherrn A-N;;Maria Prüller;2026-06-01 18:18:01;2026-06-01 18:33:06;Nein;;
9.6.126;Visitenkarte;Hammerstein, Major Baron;;19080312;Wien, Hotel Meissl;"Bittet den Empfänger (""Lieber Freund""), ihn für eine Audienz bei den k.u.k. Hoheiten vorzumerken";"k.u.k. Gesandter
Arnold von Hammerstein-Equord (1860-1933) war preußischer Generalleutnant und Militärattaché.";Autographensammlung A2, Freiherrn A-N;;Maria Prüller;2026-06-08 10:35:53;2026-06-08 10:54:11;Nein;;
9.6.127;Fragment;Helfert;;18910416;Wien, 3. Bezirk, Reisnerstraße 11;;"Insg. sind 3 Fragmente mit den Unterschriften Helferts auf ein Blatt Papier geklebt. Zwei sind datiert (16. Aprilis 1891 und 11. November 1891, die mittlere nicht. Auf der mittleren ist eine Notiz in Gabelsberger Kurzschrift, die als Geburtsjahr des Herrn Helfert 1820 angibt. 
Demnach könnte es sich um Joseph Alexander Freiherr von Helfert (1820-1910) handeln, geb. in Prag, verstorben in Wien, Jurist, Historiker und Staatsmann. Ihm verdankt die Universität Wien die Gründung des Instituts für österreichische Geschichtsforschung.";Autographensammlung A2, Freiherrn A-N;;Maria Prüller;2026-06-08 10:54:15;2026-06-08 11:05:43;Nein;;
9.6.128;Visitenkarte;Henneberg, Anton Baron;;;;Glückwünsche zum heutigen hohen Festtage;;Autographensammlung A2, Freiherrn A-N;;Maria Prüller;2026-06-08 11:05:46;2026-06-08 11:08:24;Nein;;
9.6.129;Fragment;Hohenhausen, Freiherr von;;;München, Fürstenstraße 5;;Coupon zur Post-Paketadresse mit Name und Wohnort des Absenders, am Poststempel nur 26. Feb. lesbar, aber nicht die Jahreszahl;Autographensammlung A2, Freiherrn A-N;;Maria Prüller;2026-06-08 11:08:27;2026-06-08 11:43:31;Nein;;
9.6.130;Fragment;Inkey, Sandor Palini;;;;;"nur Unterschrift aufgeklebt auf Papier 
von anderer Hand dazugeschrieben: ""Kumaras"" (?)";Autographensammlung A2, Freiherrn A-N;;Maria Prüller;2026-06-08 11:11:36;2026-06-08 11:39:37;Nein;;
9.6.131;Brief;Karg, Lorle;;;Pola, Via dell' ospedale 39;"erlaubt sich,  dem Empfänger (""Hochwürden"") einige Schriftzüge anzubieten, sollten sie ihm genügend interessant sein und er sie nicht schon kennen. 
Sie berichtet außerdem davon, dass sie das Eigentum ihrer verstorbenen Mutter in Pola sichtet, dass eine Freundin Margit in Lussinpiccolo ist und Mama Angerer schon wieder gesundheitlich besser als im Winter.";Als Datierung ist nur 1.4. angegeben, keine Jahreszahl.;Autographensammlung A2, Freiherrn A-N;;Maria Prüller;2026-06-08 11:28:09;2026-06-08 11:54:22;Nein;;
9.6.132;Brief;Karg, Lorle;Schock, P. Josef (vermutlich);19090124;Wien, 1. Bezirk, Lothringerstraße 3;"Fr. Karg schickt dem Empfänger (""Hochwürden"") Autographe aus dem Reich der Kunst - vom berühmten Geiger Kubelik (der eigens gebeten wurde, eine Beitrag für die Sammlung des Adressaten zu liefern), vom Maler van Haanen und von einer ""Weimarer Nachtigall"", die sich in die Herzen der Wiener gesungen hätte. Sie könne ihm auch die Unterschrift von Hugo von Hoffmannsthal schicken. Außerdem bittet sie den Empfänger, dass er seinerseits Ansichtskarten von der Seitenstettner Bibliothek an eine Frau Ida von Gutmann-Wodianer in Wien für ihre Sammlung schicken möge. Diese könne ihm dafür aus ihrem großen Freundeskreis auch was für seine Sammlung beisteuern.
Außerdem schickt sie Nachrichten vom Tod gemeinsamer Bekannter.";"Der Brief besteht aus 2 Blättern.
Beim im Brief erwähnten ""berühmten Geiger Kubelík"" handelt es sich wahrscheinlich um den tschechischen Geiger Jan Kubelik (1880-1940) und beim Maler van Haanen wahrscheinlich um den österreichischen Porträt- und Genremaler Cecil van Haanen (1844-1914), Sohn des niederländischen Landschaftsmaler Remigius Adrianus Haanen (1812-1894). 
Bei der ""Weimarer Nachtigall"" könnte es sich um Marie Gutheil-Schoder (1874 -1935) handeln, die aus Weimar stammte und 1900 von Gustav Mahler nach Wien an die Hofoper geholt wurde.
";Autographensammlung A2, Freiherrn A-N;;Maria Prüller;2026-06-08 11:54:28;2026-06-08 13:35:49;Nein;;
9.6.133;Brief;Karg, Lorle;Schock, P. Josef (vermutlich);;Wien, 1. Bezirk, Lothringerstraße 3;"Fr. Karg erfüllt den Wunsch nach Übersendung einer Unterschrift von Hoffmannsthal und bedauert, dass dieser ihrer Bitte um Niederschrift einiger Worte nicht nachgekommen sei.
Sie erinnert den Empfänger auch daran, die erbetenen Ansichtskarten an Frau von Gutmann zu schicken, die eine Sammlung von etwa 10.000 Karten aus allen Weltteilen besitzt. Auch ein Exlibris der Stiftsbibliothek wäre für diese von großem Interesse.
Außerdem schreibt Fr. Karg über den schlechten Gesundheitszustand von Mama Angerer.";"Der Brief besteht aus 2 Blättern.
Als Datierung ist nur angegeben: 29.1. - ist aber vermutlich wie der Brief 9.6.132 aus dem Jahr 1909, da die beiden Briefe inhaltlich aufeinander bezogen erscheinen.";Autographensammlung A2, Freiherrn A-N;;Maria Prüller;2026-06-08 13:35:55;2026-06-08 14:00:10;Nein;;
9.6.134;Visitenkarte;Karg von Bebenburg, Baronin Eugénie;;;;;;Autographensammlung A2, Freiherrn A-N;;Maria Prüller;2026-06-08 13:58:58;2026-06-08 14:01:46;Nein;;
9.6.135;Visitenkarte;Karg von Bebenburg, La Baronne Eugénie;;;;;;Autographensammlung A2, Freiherrn A-N;;Maria Prüller;2026-06-08 14:01:50;2026-06-08 14:02:48;Nein;;
9.6.136;Visitenkarte;Kielmannsegg, Freiherr v.;;;;drückt seinen aufrichtigen Glückwunsch zur kaiserlichen Auszeichnung aus;;Autographensammlung A2, Freiherrn A-N;;Maria Prüller;2026-06-08 14:02:50;2026-06-08 14:04:34;Nein;;
9.6.137;Fragment;Kielmansegg, Freiherr;;;;;"auf Papier augeklebte Unterschrift
von anderer Hand dazugeschrieben. ""Karl Freiherr von Kielmanseegg, Freier Erbherr auf Gföhl, geb. 1835 Mitglied des öst. Abgeordnetenhauses u.d. niederösterr. Landtags, verm. 1857 mit Marie Freiin v. Werner.""";Autographensammlung A2, Freiherrn A-N;;Maria Prüller;2026-06-08 14:04:36;2026-06-08 14:08:23;Nein;;
9.6.138;Brief;Knorr, Josephine;;19070208;Stiebar;"Fr. Knorr freut sich, dass ihr Büchlein dem empfänger (""Hochwürden"") gefallen hat und dankt für sein liebes Schreiben.";;Autographensammlung A2, Freiherrn A-N;;Maria Prüller;2026-06-08 14:08:25;2026-06-08 14:30:50;Nein;;
9.6.139;Karte;Knorr, Josephine;;18860726;Stiebar;"Fr. Knorr schreibt, dass sie ""die Zinzendorfer zurückzustellen"" hätte und drückt ihre Hoffnung aus, dass der Empfänger nach Stiebar kommt und dort einiges zur Forschung in Aufenschein nehmen wird. Bis sie weiß, ob er selbst kommt, würde sie das Buch noch bei sich behalten.";;Autographensammlung A2, Freiherrn A-N;;Maria Prüller;2026-06-08 14:29:51;2026-06-08 14:38:13;Nein;;
9.6.140;Fragment;Königswarter;;;;"nur: ""ganz ergebener Königswarter""";nur Fragment mit der Unterschrift;Autographensammlung A2, Freiherrn A-N;"von anderer Hand darauf vermerkt: H.H.M. da (oder de?)
Auf der Rückseite eine Notiz in Gabelsberger Kurzschrift";Maria Prüller;2026-06-08 14:38:15;2026-06-08 14:46:06;Nein;;
9.6.141;Fragment;Königswarter (?);;;;;"Fragment aus einem Brief, es ist nur ein aufgeprägtes, grünes Monogramm MK mit einer integrierten Freiherrnkrone zu sehen und eine Datierung ""30.6.""
Mit Bleistift dazugeschrieben: ""Baron Königswarter"".
Es könnte sich um das Fragment eines Briefes von Moritz Freiherr von Königswarter (1837-1893), einem österreichischen Bankier, Mitglied des österreichischen Herrenhauses und jüdischem Philantrop, handeln.";Autographensammlung A2, Freiherrn A-N;;;2026-06-08 14:46:09;2026-06-08 14:53:37;Nein;;
9.6.142;Fragment;Koller;;;;;Fragment aus einem Brief, auf dem nur die Unterschrift und als Datierung 23.12. zu sehen ist.;Autographensammlung A2, Freiherrn A-N;;Maria Prüller;2026-06-08 14:53:40;2026-06-08 14:57:51;Nein;;
9.6.143;Brief;Koller, Alexander Baron;;19040212;Wien, 3. Bezirk, Geusaugasse 11;Baron Koller bedeankt sich für ein Schreiben vom 9. d. M. und bedauert, dem Wunsch des Empängers nicht nachkommen zu können, da er nur wenige Monate in Indien war und die wenigen Stücke, die er mitgebracht hat, bereits verteilt oder als Wandschmuck in seiner Bibliothek verwendet hat. Er verweist aber auf den vor zwei Jahren verstorbenen k.u.k. Generalauditoor i.P. Ritter von Kominek, derauf einer Weltreise auch Indien durchquerte und viele Gegenstände mitgebracht hat. Der Empfänger solle doch an dessen Bruder schreiben und fragen, ob er ihm entgeltlich oder geschenkweise was aus dieser Sammlung überlässt.;Dieser Brief hängt mit 9.6.144 und 9.6.145 zusammen.;Autographensammlung A2, Freiherrn A-N;;Maria Prüller;2026-06-08 14:57:52;2026-06-08 15:13:45;Nein;;
9.6.144;Brief;Koller, Alexander Baron;Stift Seitenstetten;19050301;Wien, 3. Bezirk, Geusaugasse 11;Baron Koller fragt im Stift Seitenstetten nach, wer der Stiftskapitular war, der sich im Vorjahr wegen Überlassung von indischen Naturalien an ihn gewandt hat, da er jetzt möglicherweise etwas Verwendbares zu vergeben hätte. Ein Termin zur Besichtigung desselben wäre schriftlich zu vereinbaren.;Dieser Brief hängt mit 9.6.143 und 9.6.145 zusammen.;Autographensammlung A2, Freiherrn A-N;;Maria Prüller;2026-06-08 15:06:29;2026-06-08 15:13:51;Nein;;
9.6.145;Brief;Koller, Baron;;19050306;Wien, 3. Bezirk, Geusaugasse 11;"Baron Koller berichtet dem Empfänger (""Ew. Hochwürden""), dass er abreisen muss und sich nach seiner Rückkehr nach Wien wegen ihrer Besprechung wieder melden wird. Eer bittet den Empfänger aber, sich nicht zu viel zu erwarten. Er könne derzeit nur ein paar durch ihre Herkunft merkwürdige Steine und ein paar Zapfen von 6000jährigen Bäumen (Sequoia gigantea) anbieten.";Dieser Brief hängt mit 9.6.143 und 9.6.144 zusammen.;Autographensammlung A2, Freiherrn A-N;;Maria Prüller;2026-06-08 15:13:53;2026-06-08 15:18:04;Nein;;
9.6.146;Brief;Konradsheim, Marie;;19020503;Neuwaldegg;"Marie Konradsheim drükt ihr Bedauern aus, dass sie es nicht gewagt hatte, den Empfänger (""Hochwürdiger Herr Professor"") bereits im Vorjahr zu fragen, ob er sie trauen würde, und fragt aber jetzt an, ob er nicht zur Taufe ihres ersten Kindes, das sie demnächst erwartet, kommen möchte.";"mit Bleistift ist auf der letzten Seite vermerkt: ""Baronin Konradsheim""";Autographensammlung A2, Freiherrn A-N;;Maria Prüller;2026-06-08 15:19:11;2026-06-08 15:29:17;Nein;;
9.6.147;Brief;Krticzka-Jaden, Hans;;18950905;Wien, 1. Bezirk, Stoss im Himmel 3;"Baron Krticzka-Jaden bittet den Empfänger (""Hochgeschätzter Herr""), da seine ""Körnerarbeit"" bald fertig wird, um Mithlife durch die Überlassung von Aufnahmen des einen oder anderen Manuscriptes aus dessen reicher Sammlung zur Veröffentlichung.";"mit Bleistift ist vorne auf den Brieg geschrieben ""Krtizka von Jaden""
Beim Absender handelt es sich um Hans Freiherr von Krticzka von Jaden (1866-1948), Schriftsteller und Jurist. 1896 erschien sein Werk ""Theodor Körner und seine Braut"".";Autographensammlung A2, Freiherrn A-N;;Maria Prüller;2026-06-08 15:29:21;2026-06-08 15:47:16;Nein;;
9.6.148;Visitenkarte;Kübeck, Guido Freiherr von;;;;beste Glückwünsche zur Auszeichnung;"k.u.k. Geheimer Rath u. Statthalter a.D.
Hinten mit Bleistift ein Vermerk in Gabelsberger Kurzschrift und u.a. dem Geburtsdatum des Frh. Von Kübeck 1829
Es handelt sich wahrscheinlich um Guido Freiherr Kübeck von Kübau (1829-1907), österreichischer Verwaltungsjurist, hoher Beamter und Politiker, u.a. 1868 Landespräsident von Kärnten, 1870-1895 Statthalter der Steiermark, 1873-1879 Abgeordneter zum österreichischen Reichsrat.";Autographensammlung A2, Freiherrn A-N;;Maria Prüller;2026-06-08 15:47:19;2026-06-08 15:55:35;Nein;;
9.6.149;Brief;Kulmer, Josef Freiherr v.;;18910526;Graz, Lusthausgasse 13;"Frh. Kulmer bedankt sich beim Empfänger (""Euer Wohlgeboren"") für die Bemühung um seine Wünsche betreffend einer Stammtafel der Alexandrine Gräfin Kulmer und bedauert gleichzeitig, dass der Empfänger nicht noch über andere Mitglieder seiner Familie nachgeforscht hat, dann wären vielleicht alle seine Wünsche zu erfüllen gewesen. Er drückt auch den Wunsch aus, dass der empfänger Zeit fände, ihm die Eltern und Großeltern der Amalie Gräfin Palffy und der Gräfin Henriette Erdödy namhaft zu machen.";;Autographensammlung A2, Freiherrn A-N;;Maria Prüller;2026-06-08 15:55:40;2026-06-08 16:24:08;Nein;;
9.6.150;Brief;Kulmer, Therese;;;Grundlsee;"Therese Kulmer drückt dem Empfänger (""Sehr geehrter Herr"") ihre Freude darüber aus, dass sein Neffe einem gefährlichen Unfall entgangen ist.Sie bedankt sich auch für durch Gräfin Lamberg überbrachte Wünsche. Der weitere Inhalt des Briefes dreht sich um ein Bauprojekt, für das Baumeister Baltl Pläne geliefert hat, die Gräfin Meran und Gräfin Lamberg zufriedengestellt hätten. Es geht auch um die Finanzierung dieses Projektes, um die Frage nach Erlass der Grundsteuer.
";"Auf dem Brief finden sich Notizen mit Bleistift, z.B. ""Kulmer von Rosenpichl und Hohenstein"" sowie ""Überreichung (?) Stadtrath"".
Als Datierung ist nur angegeben: ""19.7."", aber keine Jahreszahl.
Unter 9.6.151 gibt es eine weitere Karte von Therese von Kulmer betreffend dieses Bauprojekt.
Bei Therese Kulmer handelt es sich vermutlich entweder um Baronin Theresse Marie Amalie von Kulmer zu Rosenpichl und Hohenstein, geb. von Lendenfeld (1808-1891), Witwe des Grazer Landesgerichtspräsidenten Ignaz Joseph Freiherr von Kulmer (1798-1861) oder um ihre Tochter Theresia Maria von Kulmer (geb. 1847), Stiftsdame im Damenstift Maria Schul in Brünn.
Bei Baumeister Baltl handelt es sich vermutlich um den Grazer Stadtbeumeister Johann Baltl (1860-1956).
Da Frau von Kulmer zum Schluss den Adressaten bittet, sie seiner Gemahlin zu empfehlen, wird der Brief nicht an jemand aus dem Stift Seitenstetten gerichtet sein.";Autographensammlung A2, Freiherrn A-N;;Maria Prüller;2026-06-08 16:24:19;2026-06-16 11:35:04;Nein;;
9.6.151;Karte;Kulmer, Therese;;;Grundlsee;"Frau Kulmer schreibt an den Adressaten (""Sehr geehrter Herr""), dass sie das gewünschte Schriftstück an seine Adresse richtet, obwohl Procurator Trenk bereits zurück sei. Sie bedankt sich für seine Bemühungen. Gräfin Meran hätte bereits einen Dankbrief an Graf Clary gerichtet, sie selbst schreibt an Herrn Trenk mit der Bitte um ein offizielles Schreiben. Die bedingungen des Stadtbauamtes würden die Kosten zwar erhöhen, man müsse sich aber fügen und sie müssen die Gartenmauer zum Nachbarn untermauern.";"Dieses Schreiben steht im Zusammenhang mit dem Brief 9.6.150, in dem es ebenfalls um ein Bauprojekt geht und in dem auch die Personen Gräfin Meran, Gräfin Lamberg, Graf Clary und Herr Trenk erwähnt sind.
Auch auf dieser Karte ist als Datierung nur ""13.8."", aber keine Jahreszahl angegeben.";Autographensammlung A2, Freiherrn A-N;;Maria Prüller;2026-06-16 11:35:08;2026-06-16 11:47:59;Nein;;
9.6.152;Visitenkarte;Lederer, Alfred Freiherr von;;;;Glückwünsche an Hochwürden zur Verleihung des Regierungsratstitels;k.k. Statthatereirath;Autographensammlung A2, Freiherrn A-N;;Maria Prüller;2026-06-16 11:48:02;2026-06-16 11:49:53;Nein;;
9.6.153;Visitenkarte;Lederer, Alfred Freiherr von;;;;Der Absender drückt seine Beileidwünsche zum Tod des hochverdienten hochwürdigen P. Dr. Weissenhofer, k.k. Professor, aus, von dessen Ableben er in der Zeitung gelesen hat.;"k.k. Statthaltereirath, Ritter des oest.Franz-Josef-Ordens
P. Robert Weissenhofer, Konventuale des Stiftes Melk, ist  am 30. März 1900 gestorben. Diese Beileidsbekundung wird daher vermutlich aus dem April 1900 stammen.";Autographensammlung A2, Freiherrn A-N;;Maria Prüller;2026-06-16 11:49:55;2026-06-16 11:59:46;Nein;;
9.6.154;Visitenkarte;Lederer, Alfred Freiherr von;;;Amstetten;Dank für die freundliche Beglückwünschung;k.k. Stattheltereirath;Autographensammlung A2, Freiherrn A-N;;Maria Prüller;2026-06-16 11:54:29;2026-06-16 11:56:31;Nein;;
9.6.155;Fragment;Lichtenfels, Freiherr v., Ordens-Kanzler;;;;nur Unterschrift;"Die Unterschrift ist auf ein Blatt Papier geklebt.
Von anderer Hand (vermutliich von P. Josef Schock) ist auf dem Papier vermerkt: ""Thaddäus Peithner Frhr. V. Lichtenfels, geb. 1798, gest. 2.10.1877. geh. Rat u. Reichsrat, Präsident des Staatsrates, bekannter Jurist. s. Wurzbach XV 79, s. Deutsche Biogr. XVIII 542 ff""";Autographensammlung A2, Freiherrn A-N;;Maria Prüller;2026-06-16 12:47:42;2026-06-16 12:55:56;Nein;;
9.6.156;Brief;Lippert, Freiherr v.;Cziklay, Ludwig;18961121;Wiener Neustadt;Frh. von Lippert antwortet auf ein Gesuch Ludwig Cziklays um einen schriftlichen Beitrag von Seiner K.u.k. Hoheit Erzherzog Heinrich Ferdinand für ein Gedenkalbum zugunsten des Baus der Kleinpester Rudolfs-Votivkirche, unter der Redaktion des Adressaten und übersendet ein Autogramm, dessen Einsendung der Vater des Erzherzogs, Ferdinand IV. Großherzog der Toskana aufgrund dessen Minderjährigkeit gestattet hat.;"Links oben am Brief ist ein Stempel mit Wappen und  Aufschrift: ""KÄMMERER S. K. u. K. H. D. ERZHERZOGS HEINRICH P.V. TOSKANA. Darunter mit Bleistift handschriftlich vermerkt (vermutlich von P. Josef Schock): ""Kammer Heinrich v. Toscana"" und am Brief unten rechts ebenfalls handschriftlich mit Bleistift: Rudolf Frh. v. Lippert, geb. 16.4.1863""";Autographensammlung A2, Freiherrn A-N;;Maria Prüller;2026-06-16 12:55:59;2026-06-16 14:36:13;Nein;;
9.6.157;Visitenkarte;Lipthay, La Baronne Béla;;;;"""für den Christbaum der armen Kinder""";;Autographensammlung A2, Freiherrn A-N;;Maria Prüller;2026-06-16 14:36:17;2026-06-16 14:40:24;Nein;;
9.6.158;Brief;Macchio, Baronin;;19030929;;"Baronin Macchio korrespondiert mit ""Resi"" betreffend ihrer Suche nach einer Kammerjungfer. Sie retourniert einerseits eine Fotografie und einen Brief einer Anwärterin für diesen Posten und versucht andererseits sehr dringlich, Resi, die bei ihrer Mutter im Dienst war, dazu zu überreden, zu ihr in den Dienst zu kommen.";"Neben diesem Brief gibt es noch zwei weitere (9.6.159 und 9.6.160) von Baronin Macchio an ""Resi"" mit ganz ähnlichem Inhalt.
Bei Baronin Macchio handelt es sich höchstwahrscheinlich um Bertha von Macchio, geborene Czekelius von Rosenfeld, die Gattin von Karl Freiherr von Macchio (1859-1945), österreich-ungarischer Diplomat. Er war u.a. 1903-1908 Gesandter in Athen. Bertha Baronin Macchio engagierte sich im Sozialwesen und war u.a. Mitglied im ""Verein zur Erhaltung des St. Joseph-Kinderspitals in Wien"".";Autographensammlung A2, Freiherrn A-N;;Maria Prüller;2026-06-16 14:40:27;2026-06-16 15:33:30;Nein;;
9.6.159;Brief;Macchio, Baronin;;19031015;;Baronin Macchio bdauert unendlich, dass die Adressatin Resi nicht zu ihr in den Dienst kommen möchte, weil das für sie in jeder Hinsicht eine große Beruhigung gewesen wäre, und sie bittet Resi, wenn sie nach Wien kommt, für sie eine nette Jungfer auszusuchen und mit ihr zu sprechen, was Baronin Macchio alles von ihr will.;"Es gibt in der Autoographensammlung noch zwei weitere Briefe von Baronin Macchio an Resi (9.6.158 und 9.6.160), in denen es ebenfalls um ihre Suche nach einer Kammerjungfrau geht.
Unter Bemerkungen bei 9.6.158 siehe auch betreffend des biographischen Hintergrunds von Baronin Macchio.";Autographensammlung A2, Freiherrn A-N;;Maria Prüller;2026-06-16 15:34:10;2026-06-16 15:40:14;Nein;;
9.6.160;Brief;Macchio, Baronin;;19031026;;"Baronin Macchio berichtet Resi davon, dass ihre derzeitige Kammerjungfrau Valerie gekündigt hat und dass sie nun weiterhin verzweifelt nach einem Ersatz sucht.Da auch das Stubenmädel abreist, werde sie wohl vieles allein machen müssen. Außerdem sei ""unser Geistlicher Herr"" seit 2 Tagen sterbenskrank und sie würde ihn nun täglich pflegen. Baronin Macchio setzt den Brief dann erst am 30. Oktober fort mit der Nachricht, dass der geistliche Herr am 28. Oktober verstorben ist und sein Leichnam am 30. nun nach Cattaro zur Beerdigung überführt wurde. In ihrer verzweifelten Suche nach einer Kammerfrau und einem Stubenmädchen habe sie nun an ein Büro in Wien geschrieben, bittet Resi auch auch nochmals um Hilfe bei der Suche und drückt wieder ihr Bedauern aus, dass diese nicht zu ihr kommen kann und versucht nochmals sie dazu zu überreden. Auch berichtet sie davon, dass die Versetzung nach Athen, die schon im ersten Brief (9.6.158) angesprochen wurde, nun offiziell ist.";"Zu diesem Brief gibt es noch zwei weitere von Baronin Macchio an Resi in der Autographensammlung (9.6.158 und 9.6.159) mit ganz ähnlichem Inhalt.
Durch die Erwähnung der nun offiziell gewordenen Versetzung nach Athen lässt sich der Gemahl von Baronin Macchio eindeutig als Karl Freiherr von Macchio, österreich-ungarischer Gesandter in Athen von 1903-1908, identifizieren - siehe unter Bemerkungen bei 9.6.158.";Autographensammlung A2, Freiherrn A-N;;Maria Prüller;2026-06-16 15:40:17;2026-06-16 15:53:03;Nein;;
