Signatur;Kategorie;Schreiber;Empfaenger;Datierung;Ort;Regest;Bemerkungen;Olim;InterneBemerkung;ErfasstVon;ErfasstAm;GeaendertAm;Exportiert;ExportiertAm;ExportHinweis
9.6.76;Brief;Beck;;18920201;;Dank für eine Einladung;"Der Brief ist gerichtet an ""Verehrter Freund"". - Von anderern Hand auf der Rückseite notiert: Freidrich Freiherr (jetzt Graf) von Beck, geb. 1830, k.u.k. geh. Rat, Feldzeugmeister, Chef des Generalstabes des heeres, Inhaber des Inf. Reg. Nr. 47, seit 1861 verheiratet mit Anna Freiin Rzikowsky von Dobrzicz, Sohn Friedrich, geboren 1872";Autographensammlung A2, Freiherrn A-N;;Maria Prüller;2026-05-26 13:42:21;2026-05-26 13:54:14;Nein;;
9.6.77;Brief;Beulwitz (?);;19070607;Vöcklabruck;"Der Absender fragt, ob ihm der Adressat (""geehrter Herr Oberlehrer"") einen etwa 15-jährigen Schulabgänger nennen könnte, da er einen Gehilfen für seinen Diener sucht. Es sollte ein nett aussehender, flinker Bursche sein aus anständiger Familie.";;Autographensammlung A2, Freiherrn A-N;;Maria Prüller;2026-05-26 13:54:17;2026-05-26 14:10:06;Nein;;
9.6.78;Brief;Statthalterei NÖ;Oberndorfer, Johann;18930809;Wien;Anfrage an den Adressat, ob er einer Einladung der k.k. Finanzlandesdirektion Folge leisten würde zur Teilnahme an einer Beratung über die Verteilung und die Modalitäten des Bezuges von Viehsalz, das aufgrund eines Gesetzes vom 30. März 1893 hergestellt werden soll.;Johann Oberndorfer: Reichsraths- und Landtagsabgeordneter und Gemeindevorsteher in Weistrach. -  Die Karte 9.6.103 ist ebenfalls an einen Herrn Oberndorfer gerichtet, vermutlich an die gleiche Person. - Statthalter des Erzherzogtums Österreich unter der Enns war 1893 Friedrich Freiherr Bourguignon von Baumberg, von dem unter den Nummern 9.6.79-82 vier Visitenkarten dem Brief beiliegen.;Autographensammlung A2, Freiherrn A-N;;Maria Prüller;2026-05-26 14:10:53;2026-06-01 11:33:16;Nein;;
9.6.79;Visitenkarte;Bourguignon, Friedrich Freiherr von;;;;Dank für überaus gütige Glückwünsche;k.k. Statthalterei-Vice-Präsident;Autographensammlung A2, Freiherrn A-N;;Maria Prüller;2026-05-26 14:40:33;2026-05-26 14:45:18;Nein;;
9.6.80;Visitenkarte;Bourguignon, Friedrich Freiherr von;;;;Dank für die überaus gütige Erinnerung;;Autographensammlung A2, Freiherrn A-N;;Maria Prüller;2026-05-26 14:45:20;2026-05-26 14:49:15;Nein;;
9.6.81;Visitenkarte;Bourguignon, Friedrich Freiherr von;;;;drückt seinen wärmsten Dank aus;k.k Landes-Präsident;Autographensammlung A2, Freiherrn A-N;;Maria Prüller;2026-05-26 14:49:24;2026-05-26 14:53:20;Nein;;
9.6.82;Visitenkarte;Bourguignon, Baron und Baronin;;;;übermitteln beste Wünsche für das Jahr 1888;von anderer Hand darauf vermerkt: kk Statthaltereirath, I Schottenring 14;Autographensammlung A2, Freiherrn A-N;;Maria Prüller;2026-05-26 14:53:28;2026-05-26 14:55:47;Nein;;
9.6.83;Brief;Brandenstein, Freiherr von;;18670331;Dresden;;;Autographensammlung A2, Freiherrn A-N;;Maria Prüller;2026-05-26 14:56:08;2026-05-26 15:06:11;Nein;;
9.6.84;Fragment;Boul, Freiherr;;;18602311;Ersuchen um Ersatz des abhandengekommenen Blattes Nr. VIII;"k.k. Reichsrath - hinten von anderer Hand vermerkt: Franz Freiherr von Boul-Bernburg, geb. 1794 sowie eine weitere Notiz in Kurzschrift endend auf ""Giovanelli""";Autographensammlung A2, Freiherrn A-N;;Maria Prüller;2026-05-26 15:06:13;2026-05-26 15:15:06;Nein;;
9.6.85;Brief;Conrad-Eybesfeld, Freiherr;Hönigl, Abt Dominik;18740915;Wien;Dank für freundliche Begrüßung und Ausdruck seiner besonderen Hochachtung und hohen Verehrung;;Autographensammlung A2, Freiherrn A-N;;Maria Prüller;2026-05-26 15:15:08;2026-05-26 15:22:20;Nein;;
