Kategorie;SignaturUeberordnung;Schreiber;Empfaenger;Datierung;Ort;Regest;Bemerkungen;Olim;InterneBemerkung;Ueberfuehrt;UeberfuehrtAm;ErzeugteSignatur;UeberfuehrungsHinweis
Brief;3.1.533.2;Wagner, Aemilian;Kleriker;19001207;Seitenstetten;;S. 68-71;;;;;;
Brief;3.1.533.2;Wagner, Aemilian;Kleriker;19010119;Seitenstetten;;S. 72-75;;;;;;
Brief;3.1.533.2;Wagner, Aemilian;Kleriker;19010118;Seitenstetten;;S. 76-79;;;;;;
Brief;3.1.533.2;Wagner, Aemilian;Kleriker;19010125;Seitenstetten;;S. 80-83;;;;;;
Brief;3.1.533.2;Wagner, Aemilian;Kleriker;19010309;Seitenstetten;;S. 84-87;;;;;;
Brief;3.1.533.2;Wagner, Aemilian;Kleriker;19010323;Seitenstetten;;S. 88-91;;;;;;
Brief;3.1.533.2;Wagner, Aemilian;Kleriker;19010427;Seitenstetten;;S. 92-95;;;;;;
Brief;3.1.533.2;Wagner, Aemilian;Kleriker;19010504;Seitenstetten;;S. 96-99;;;;;;
Brief;3.1.533.2;Wagner, Aemilian;Kleriker;19010511;Seitenstetten;;S. 100-103;;;;;;
Brief;3.1.533.2;Wagner, Aemilian;Kleriker;19010516;Seitenstetten;;S. 104-106;;;;;;
Brief;3.1.533.2;Wagner, Aemilian;Kleriker;19010525;Seitenstetten;;S. 107-111;;;;;;
Brief;3.1.533.2;Wagner, Aemilian;Kleriker;19010601;Seitenstetten;;S. 112-115;;;;;;
Brief;3.1.533.2;Wagner, Aemilian;Kleriker;19010615;Seitenstetten;;S. 116-119;;;;;;
Brief;3.1.533.2;Wagner, Aemilian;Kleriker;19010622;Seitenstetten;;S. 120-123;;;;;;
Brief;3.1.533.2;Wagner, Aemilian;Kleriker;19010629;Seitenstetten;;S. 124-127;;;;;;
Brief;3.1.533.2;Wagner, Aemilian;Kleriker;19011012;Seitenstetten;;S. 128-131;;;;;;
Karte;3.1.533.2;Wagner, Aemilian;Bodingbauer, Alois;19031210;Seitenstetten;;S. 132-133;;;;;;
Brief;3.1.533.2;Wagner, Aemilian;Hönigl, Dominik;19041222;Rom;;S. 134-140;;;;;;
Brief;3.1.533.2;Wagner, Aemilian;Kleriker;19021119;Rom;;S. 141-147;;;;;;
Brief;3.1.533.2;Rehrl, Franz;Wagner, Aemilian;19340424;Salzburg;;S. 148;;;;;;
Brief;3.1.533.2;Adamer;Wagner, Aemilian;19340423;Salzburg;;S. 149;;;;;;
Brief;3.1.533.2;Wagner, Adalbert;Wagner, Aemilian;19280428;St. Leonhard am Wald;;S. 150;;;;;;
Brief;3.1.533.2;Schülergruppe;Wagner, Aemilian;19111025;Seitenstetten;;S. 151-152;;;;;;
Brief;3.1.533.2;Wagner, Aemilian;Colerus-Geldern, Kolomann;19241119;Seitenstetten;;S. 153-154;;;;;;
Primizbild;1.2.2.533;Wagner, Aemilian;;;;;S. 155;;;;;;
Brief;;Rektorat der Universität Innsbruck;Wagner, Aemilian;19111011;Innsbruck;;S. 1;;;;;;
Brief;;Sekretariat der Universität Innsbruck;Wagner, Aemilian;19111006;Innsbruck;;S. 2-3;;;;;;
Brief;;k.k. Statthalterei für Tirol und Vorarlberg;Wagner, Aemilian;19111003;Innsbruck;;S. 4;;;;;;
Brief;;Wagner, Aemilian;Springer, Hugo;19110518;Innsbruck;;S. 5;;;;;;
Entwurf;;Wagner, Aemilian;Kaiser Franz Josef;19110530;Seitenstetten;;S. 6-9;;;;;;
Bestätigung;;Collegium San Anselmo;Wagner, Aemilian;19110524;Rom;;S. 10;;;;;;
Gutachten;;Kalinka;Wagner, Aemilian;19110524;Innsbruck;;S. 11;;;;;;
Zeugnis;;Philosophische Fakultät Innsbruck;Wagner, Aemilian;19110519;Innsbruck;;S. 12;;;;;;
Zeugnis;;Philosophische Fakultät Innsbruck;Wagner, Aemilian;19110519;Innsbruck;;S. 13;;;;;;
Zeugnis;;Philosophische Fakultät Innsbruck;Wagner, Aemilian;19119999;Innsbruck;;S. 14-20;;;;;;
Zeugnis;;Philosophische Fakultät Innsbruck;Wagner, Aemilian;19100601;Innsbruck;;S. 21;;;;;;
Zeugnis;;Philosophische Fakultät Innsbruck;Wagner, Aemilian;19100619;Innsbruck;;S. 22;;;;;;
Zeugnis;;Springer, Hugo;Wagner, Aemilian;19100420;Seitenstetten;;S. 23;;;;;;
Zulassung;;Universität Innsbruck;Wagner, Aemilian;19100216;Innsbruck;;S. 24;;;;;;
Zulassung;;Universität Innsbruck;Wagner, Aemilian;19100502;Innsbruck;;S. 25;;;;;;
Studienbestätigung;;Universität Innsbruck;Wagner, Aemilian;19101024;Innsbruck;;S. 26-29;;;;;;
Matrikelschein;;Universität Innsbruck;Wagner, Aemilian;19061215;Innsbruck;;S. 30;;;;;;
Zeugnis;;Collegium San Anselmo;Wagner, Aemilian;19040629;Rom;;S. 31;;;;;;
Zeugnis;;Collegium San Anselmo;Wagner, Aemilian;19020629;Rom;;S. 32;;;;;;
Zeugnis;;Collegium San Anselmo;Wagner, Aemilian;19050628;Rom;;S. 33;;;;;;
Zeugnis;;Collegium San Anselmo;Wagner, Aemilian;19030629;Rom;;S. 34;;;;;;
Gymnasialzeugnis;;Stiftsgymnasium Seitenstetten;Wagner, Aemilian;18930211;Seitenstetten;;S. 35;;;;;;
Gymnasialzeugnis;;Stiftsgymnasium Seitenstetten;Wagner, Aemilian;18930713;Seitenstetten;;S. 36;;;;;;
Gymnasialzeugnis;;Stiftsgymnasium Seitenstetten;Wagner, Aemilian;18940210;Seitenstetten;;S. 37;;;;;;
