S1;S2;S3;S4;S5;S6;S7;Signatur;Benennung;Profitent;Abt;Datierungvon;Datierungbis;Höhe;Breite;Fläche;Material;Ausstattung;Sprache;Bemerkung;Nalt1;Nalt2;Sortierung;Text;Invocatio;Intitulatio;Arenga;Dispositio;Testes;Datierung22;FuI;Datierungvon2;Datierungbis2;Datierungtext
2;A;84;;;;;StAS 2.A.84;Professurkunde des Michael de Longinquis provinciis;Michael de Longinquis provinciis;Kilianus;14980208;14980208;110;183;20130;Pergament;Initiale I;Latein;Stark abweichender Formeltext - Übertritt aus einem anderen Haus?;85;84;0002A0084000000000000;;;;;;;;"Abt: Kilianus 
Abmessungen (BxH in mm): 183x110";08.02.1498;08.02.1498;08.02.1498
2;A;85;;;;;StAS 2.A.85;Professurkunde des Wentzeslaus de Weistrach;Wentzeslaus de Weistrach;Andreas;15011205;15011205;154;186;28644;Pergament;Initiale I und andere Verzierungen;Latein;;86;85;0002A0085000000000000;;;;;;;;"Abt: Andreas 
Abmessungen (BxH in mm): 186x154";05.12.1501;05.12.1501;05.12.1501
2;A;86;;;;;StAS 2.A.86;Professurkunde des Thomas de Sancto Petro in Augia;Thomas de Sancto Petro in Augia;Andreas;15010905;15010905;148;197;29156;Pergament;Initiale I und andere Verzierungen;Latein;;87;86;0002A0086000000000000;;;;;;;;"Abt: Andreas 
Abmessungen (BxH in mm): 197x148";05.09.1501;05.09.1501;05.09.1501
2;A;87;;;;;StAS 2.A.87;Professurkunde des Wolfgangus de Seitensteten;Wolfgangus de Seitensteten;Andreas;15020702;15020702;145;185;26825;Pergament;Initiale I;Latein;;88;87;0002A0087000000000000;;;;;;;;"Abt: Andreas 
Abmessungen (BxH in mm): 185x145";02.07.1502;02.07.1502;02.07.1502
2;A;88;;;;;StAS 2.A.88;Professurkunde des Stephanus de Sancto Petro;Stephanus de Sancto Petro;Andreas;15030724;15030724;143;205;29315;Pergament;Initiale I;Latein;;89;88;0002A0088000000000000;;;;;;;;"Abt: Andreas 
Abmessungen (BxH in mm): 205x143";24.07.1503;24.07.1503;24.07.1503
2;A;89;;;;;StAS 2.A.89;Professurkunde des Johannes de Sancto Petro;Johannes de Sancto Petro;Andreas;15041130;15041130;138;181;24978;Pergament;Initiale I;Latein;;90;89;0002A0089000000000000;;;;;;;;"Abt: Andreas 
Abmessungen (BxH in mm): 181x138";30.11.1504;30.11.1504;30.11.1504
2;A;90;;;;;StAS 2.A.90;Professurkunde des Thomas de Aspach;Thomas de Aspach;Andreas;15041130;15041130;140;183;25620;Pergament;Initiale I;Latein;;91;90;0002A0090000000000000;;;;;;;;"Abt: Andreas 
Abmessungen (BxH in mm): 183x140";30.11.1504;30.11.1504;30.11.1504
2;A;91;;;;;StAS 2.A.91;Professurkunde des Georgius de Gmuntten;Georgius de Gmuntten;Andreas;15060702;15060702;128;185;23680;Pergament;Initiale I;Latein;;92;91;0002A0091000000000000;;;;;;;;"Abt: Andreas 
Abmessungen (BxH in mm): 185x128";02.07.1506;02.07.1506;02.07.1506
2;A;92;;;;;StAS 2.A.92;Professurkunde des Heinricus Suess de Newnhauss;Heinricus Suess de Newnhauss;Andreas;15080615;15080615;124;196;24304;Pergament;Initiale I;Latein;;93;92;0002A0092000000000000;;;;;;;;"Abt: Andreas 
Abmessungen (BxH in mm): 196x124";15.06.1508;15.06.1508;15.06.1508
2;A;93;;;;;StAS 2.A.93;Professurkunde des Georgius de Ötting;Georgius de Ötting;Andreas;15091106;15091106;135;185;24975;Pergament;Initiale I;Latein;;94;93;0002A0093000000000000;;;;;;;;"Abt: Andreas 
Abmessungen (BxH in mm): 185x135";06.11.1509;06.11.1509;06.11.1509
2;A;94;;;;;StAS 2.A.94;Professurkunde des Michael de Seyttensteten;Michael de Seyttensteten;Andreas;15120328;15120328;163;202;32926;Pergament;Initiale I;Latein;;95;94;0002A0094000000000000;;;;;;;;"Abt: Andreas 
Abmessungen (BxH in mm): 202x163";28.03.1512;28.03.1512;28.03.1512
