S1;S2;S3;S4;S5;S6;S7;Signatur;Benennung;Profitent;Abt;Datierungvon;Datierungbis;Höhe;Breite;Fläche;Material;Ausstattung;Sprache;Bemerkung;Nalt1;Nalt2;Sortierung;Text;Invocatio;Intitulatio;Arenga;Dispositio;Testes;Datierung22;FuI;Datierungvon2;Datierungbis2;Datierungtext
2;A;131;;;;;StAS 2.A.131;Professurkunde des Johannes Amon Nittenauiensis;Johannes Amon Nittenauiensis;Christophorus;15870908;15870908;218;268;58424;Papier;;Latein;;132;131;0002A0131000000000000;;;;;;;;"Abt: Christophorus 
Abmessungen (BxH in mm): 268x218";08.09.1587;08.09.1587;08.09.1587
2;A;132;;;;;StAS 2.A.132;Professurkunde des Casparus Dremelius Rinnenthalensis;Casparus Dremelius Rinnenthalensis;Christophorus;15870911;15870911;141;162;22842;Pergament;;Latein;;133;132;0002A0132000000000000;;;;;;;;"Abt: Christophorus 
Abmessungen (BxH in mm): 162x141";11.09.1587;11.09.1587;11.09.1587
2;A;133;;;;;StAS 2.A.133;Professurkunde des Christophorus Siber Hohenkamburgensis;Christophorus Siber Hohenkamburgensis;Christophorus;15890323;15890323;159;215;34185;Papier;;Latein;;134;133;0002A0133000000000000;;;;;;;;"Abt: Christophorus 
Abmessungen (BxH in mm): 215x159";23.03.1589;23.03.1589;23.03.1589
2;A;134;;;;;StAS 2.A.134;Professurkunde des Albertus Faber;Albertus Faber;Christophorus;15900306;15900306;143;212;30316;Papier;;Latein;;135;134;0002A0134000000000000;;;;;;;;"Abt: Christophorus 
Abmessungen (BxH in mm): 212x143";06.03.1590;06.03.1590;06.03.1590
2;A;135;;;;;StAS 2.A.135;Professurkunde des Ioannes Zopffsperger;Ioannes Zopffsperger;Christophorus;15900306;15900306;169;203;34307;Papier;;Latein;;136;135;0002A0135000000000000;;;;;;;;"Abt: Christophorus 
Abmessungen (BxH in mm): 203x169";06.03.1590;06.03.1590;06.03.1590
2;A;136;;;;;StAS 2.A.136;Professurkunde des Sebastianus Perchamer;Sebastianus Perchamer;Christophorus;15900906;15900906;155;176;27280;Pergament;;Latein;;137;136;0002A0136000000000000;;;;;;;;"Abt: Christophorus 
Abmessungen (BxH in mm): 176x155";06.09.1590;06.09.1590;06.09.1590
2;A;137;;;;;StAS 2.A.137;Professurkunde des Gregorius Iell;Gregorius Iell;Christophorus;15900908;15900908;174;216;37584;Pergament;;Latein;;138;137;0002A0137000000000000;;;;;;;;"Abt: Christophorus 
Abmessungen (BxH in mm): 216x174";08.09.1590;08.09.1590;08.09.1590
2;A;138;;;;;StAS 2.A.138;Professurkunde des Paulus Rigler;Paulus Rigler;Christophorus;15901209;15901209;186;218;40548;Papier;;Latein;;139;138;0002A0138000000000000;;;;;;;;"Abt: Christophorus 
Abmessungen (BxH in mm): 218x186";09.12.1590;09.12.1590;09.12.1590
2;A;139;;;;;StAS 2.A.139;Professurkunde des Christophorus Schäffler;Christophorus Schäffler;Christophorus;15920515;15920515;169;210;35490;Papier;;Latein;;140;139;0002A0139000000000000;;;;;;;;"Abt: Christophorus 
Abmessungen (BxH in mm): 210x169";15.05.1592;15.05.1592;15.05.1592
2;A;140;;;;;StAS 2.A.140;Professurkunde des Michael de Judenburg;Michael de Judenburg;Bernhardus;16031208;16031208;163;228;37164;Pergament;;Latein;;141;140;0002A0140000000000000;;;;;;;;"Abt: Bernhardus 
Abmessungen (BxH in mm): 228x163";08.12.1603;08.12.1603;08.12.1603
2;A;141;;;;;StAS 2.A.141;Professurkunde des Joannes Casparus Pflaum;Joannes Casparus Pflaum;Bernhardus;16050529;16050529;138;189;26082;Papier;;Latein;;142;141;0002A0141000000000000;;;;;;;;"Abt: Bernhardus 
Abmessungen (BxH in mm): 189x138";29.05.1605;29.05.1605;29.05.1605
2;A;142;;;;;StAS 2.A.142;Professurkunde des Paulus Hieber;Paulus Hieber;Bernhardus;16050529;16050529;168;205;34440;Pergament;;Latein;;143;142;0002A0142000000000000;;;;;;;;"Abt: Bernhardus 
Abmessungen (BxH in mm): 205x168";29.05.1605;29.05.1605;29.05.1605
2;A;143;;;;;StAS 2.A.143;Professurkunde des Mathäus Speckher;Mathäus Speckher;Bernhardus;16060430;16060430;150;226;33900;Pergament;;Latein;;144;143;0002A0143000000000000;;;;;;;;"Abt: Bernhardus 
Abmessungen (BxH in mm): 226x150";30.04.1606;30.04.1606;30.04.1606
2;A;144;;;;;StAS 2.A.144;Professurkunde des Joannes Jacobus Hummel;Joannes Jacobus Hummel;Bernhardus;16060430;16060430;121;225;27225;Pergament;;Latein;;145;144;0002A0144000000000000;;;;;;;;"Abt: Bernhardus 
Abmessungen (BxH in mm): 225x121";30.04.1606;30.04.1606;30.04.1606
2;A;145;;;;;StAS 2.A.145;Professurkunde des Casparus Herlein;Casparus Herlein;Casparus;16100805;16100805;206;169;34814;Pergament;;Latein;;146;145;0002A0145000000000000;;;;;;;;"Abt: Casparus 
Abmessungen (BxH in mm): 169x206";05.08.1610;05.08.1610;05.08.1610
2;A;146;;;;;StAS 2.A.146;Professurkunde des Jacobus Franckh;Jacobus Franckh;Casparus;16120624;16120624;176;227;39952;Pergament;;Latein;;147;146;0002A0146000000000000;;;;;;;;"Abt: Casparus 
Abmessungen (BxH in mm): 227x176";24.06.1612;24.06.1612;24.06.1612
2;A;147;;;;;StAS 2.A.147;Professurkunde des Rupertus Reiff;Rupertus Reiff;Casparus;16130609;16130609;146;176;25696;Pergament;;Latein;;148;147;0002A0147000000000000;;;;;;;;"Abt: Casparus 
Abmessungen (BxH in mm): 176x146";09.06.1613;09.06.1613;09.06.1613
2;A;148;;;;;StAS 2.A.148;Professurkunde des Mathias Reitter;Mathias Reitter;Casparus;16140615;16140615;112;191;21392;Pergament;;Latein;;149;148;0002A0148000000000000;;;;;;;;"Abt: Casparus 
Abmessungen (BxH in mm): 191x112";15.06.1614;15.06.1614;15.06.1614
2;A;149;;;;;StAS 2.A.149;Professurkunde des Paulus Kabellius;Paulus Kabellius;Casparus;16151028;16151028;185;218;40330;Pergament;;Latein;;150;149;0002A0149000000000000;;;;;;;;"Abt: Casparus 
Abmessungen (BxH in mm): 218x185";28.10.1615;28.10.1615;28.10.1615
2;A;150;;;;;StAS 2.A.150;Professurkunde des Georgius Camerer;Georgius Camerer;Casparus;16160609;16160609;138;181;24978;Pergament;;Latein;;151;150;0002A0150000000000000;;;;;;;;"Abt: Casparus 
Abmessungen (BxH in mm): 181x138";09.06.1616;09.06.1616;09.06.1616
2;A;151;;;;;StAS 2.A.151;Professurkunde des Ioannes Lenckh;Ioannes Lenckh;Casparus;16171101;16171101;158;198;31284;Pergament;;Latein;;152;151;0002A0151000000000000;;;;;;;;"Abt: Casparus 
Abmessungen (BxH in mm): 198x158";01.11.1617;01.11.1617;01.11.1617
2;A;152;;;;;StAS 2.A.152;Professurkunde des Wilhelmus Wörl;Wilhelmus Wörl;Casparus;16181121;16181121;145;224;32480;Pergament;;Latein;;153;152;0002A0152000000000000;;;;;;;;"Abt: Casparus 
Abmessungen (BxH in mm): 224x145";21.11.1618;21.11.1618;21.11.1618
2;A;153;;;;;StAS 2.A.153;Professurkunde des Georgius Agricola;Georgius Agricola;Casparus;16181121;16181121;148;178;26344;Pergament;;Latein;;154;153;0002A0153000000000000;;;;;;;;"Abt: Casparus 
Abmessungen (BxH in mm): 178x148";21.11.1618;21.11.1618;21.11.1618
2;A;154;;;;;StAS 2.A.154;Professurkunde des Ioannes Weisman;Ioannes Weisman;Casparus;16210519;16210519;205;163;33415;Papier;;Latein;;155;154;0002A0154000000000000;;;;;;;;"Abt: Casparus 
Abmessungen (BxH in mm): 163x205";19.05.1621;19.05.1621;19.05.1621
2;A;155;;;;;StAS 2.A.155;Professurkunde des Martinus Gerstner;Martinus Gerstner;Casparus;16220706;16220706;156;202;31512;Pergament;;Latein;;156;155;0002A0155000000000000;;;;;;;;"Abt: Casparus 
Abmessungen (BxH in mm): 202x156";06.07.1622;06.07.1622;06.07.1622
2;A;156;;;;;StAS 2.A.156;Professurkunde des Sebastianus Parchwiz;Sebastianus Parchwiz;Casparus;16230313;16230313;159;213;33867;Pergament;;Latein;;157;156;0002A0156000000000000;;;;;;;;"Abt: Casparus 
Abmessungen (BxH in mm): 213x159";13.03.1623;13.03.1623;13.03.1623
2;A;157;;;;;StAS 2.A.157;Professurkunde des Fridericus Molitor;Fridericus Molitor;Casparus;16240312;16240312;160;223;35680;Pergament;;Latein;;158;157;0002A0157000000000000;;;;;;;;"Abt: Casparus 
Abmessungen (BxH in mm): 223x160";12.03.1624;12.03.1624;12.03.1624
2;A;158;;;;;StAS 2.A.158;Professurkunde des Joachimus Fridericus Rosa;Joachimus Fridericus Rosa;Casparus;16241121;16241121;139;213;29607;Pergament;;Latein;;159;158;0002A0158000000000000;;;;;;;;"Abt: Casparus 
Abmessungen (BxH in mm): 213x139";21.11.1624;21.11.1624;21.11.1624
2;A;159;;;;;StAS 2.A.159;Professurkunde des Ludovicus Scherb;Ludovicus Scherb;Casparus;16260402;16260402;138;215;29670;Pergament;;Latein;;160;159;0002A0159000000000000;;;;;;;;"Abt: Casparus 
Abmessungen (BxH in mm): 215x138";02.04.1626;02.04.1626;02.04.1626
2;A;160;;;;;StAS 2.A.160;Professurkunde des Matthias Wasserman;Matthias Wasserman;Placidus;16300615;16300615;165;186;30690;Pergament;;Latein;;161;160;0002A0160000000000000;;;;;;;;"Abt: Placidus 
Abmessungen (BxH in mm): 186x165";15.06.1630;15.06.1630;15.06.1630
2;A;161;;;;;StAS 2.A.161;Professurkunde des Stephanus Hipfel;Stephanus Hipfel;Placidus;16300815;16300815;159;207;32913;Pergament;;Latein;;162;161;0002A0161000000000000;;;;;;;;"Abt: Placidus 
Abmessungen (BxH in mm): 207x159";15.08.1630;15.08.1630;15.08.1630
2;A;162;;;;;StAS 2.A.162;Professurkunde des Gregorius Lechler;Gregorius Lechler;Placidus;16300815;16300815;156;208;32448;Pergament;;Latein;;163;162;0002A0162000000000000;;;;;;;;"Abt: Placidus 
Abmessungen (BxH in mm): 208x156";15.08.1630;15.08.1630;15.08.1630
2;A;163;;;;;StAS 2.A.163;Professurkunde des Georgius Wurmb;Georgius Wurmb;Placidus;16300815;16300815;155;198;30690;Pergament;;Deutsch;;164;163;0002A0163000000000000;;;;;;;;"Abt: Placidus 
Abmessungen (BxH in mm): 198x155";15.08.1630;15.08.1630;15.08.1630
2;A;164;;;;;StAS 2.A.164;Professurkunde des Benedictus Graff;Benedictus Graff;Placidus;16301027;16301027;152;189;28728;Pergament;;Latein;;165;164;0002A0164000000000000;;;;;;;;"Abt: Placidus 
Abmessungen (BxH in mm): 189x152";27.10.1630;27.10.1630;27.10.1630
2;A;165;;;;;StAS 2.A.165;Professurkunde des Aemilian Menzinger;Aemilian Menzinger;Placidus;16311208;16311208;155;200;31000;Pergament;;Latein;;166;165;0002A0165000000000000;;;;;;;;"Abt: Placidus 
Abmessungen (BxH in mm): 200x155";08.12.1631;08.12.1631;08.12.1631
2;A;166;;;;;StAS 2.A.166;Professurkunde des Romanus Textor;Romanus Textor;Placidus;16350202;16350202;131;188;24628;Pergament;;Latein;;167;166;0002A0166000000000000;;;;;;;;"Abt: Placidus 
Abmessungen (BxH in mm): 188x131";02.02.1635;02.02.1635;02.02.1635
2;A;167;;;;;StAS 2.A.167;Professurkunde des Aegidius Loth;Aegidius Loth;Placidus;16350202;16350202;130;184;23920;Pergament;;Latein;;168;167;0002A0167000000000000;;;;;;;;"Abt: Placidus 
Abmessungen (BxH in mm): 184x130";02.02.1635;02.02.1635;02.02.1635
2;A;168;;;;;StAS 2.A.168;Professurkunde des Maximilianus Kherscher;Maximilianus Kherscher;Placidus;16360803;16360803;128;166;21248;Pergament;;Latein;;169;168;0002A0168000000000000;;;;;;;;"Abt: Placidus 
Abmessungen (BxH in mm): 166x128";03.08.1636;03.08.1636;03.08.1636
2;A;169;;;;;StAS 2.A.169;Professurkunde des Gabriel Saur;Gabriel Saur;Placidus;16360908;16360908;124;165;20460;Pergament;;Latein;;170;169;0002A0169000000000000;;;;;;;;"Abt: Placidus 
Abmessungen (BxH in mm): 165x124";08.09.1636;08.09.1636;08.09.1636
2;A;170;;;;;StAS 2.A.170;Professurkunde des Bernardus Beesch;Bernardus Beesch;Placidus;16361101;16361101;153;182;27846;Pergament;;Latein;;171;170;0002A0170000000000000;;;;;;;;"Abt: Placidus 
Abmessungen (BxH in mm): 182x153";01.11.1636;01.11.1636;01.11.1636
2;A;171;;;;;StAS 2.A.171;Professurkunde des Benedictus Schnizer;Benedictus Schnizer;Placidus;16361101;16361101;151;179;27029;Pergament;;Latein;;172;171;0002A0171000000000000;;;;;;;;"Abt: Placidus 
Abmessungen (BxH in mm): 179x151";01.11.1636;01.11.1636;01.11.1636
2;A;172;;;;;StAS 2.A.172;Professurkunde des Anselmus Neumayr;Anselmus Neumayr;Placidus;16370908;16370908;160;186;29760;Pergament;;Latein;;173;172;0002A0172000000000000;;;;;;;;"Abt: Placidus 
Abmessungen (BxH in mm): 186x160";08.09.1637;08.09.1637;08.09.1637
2;A;173;;;;;StAS 2.A.173;Professurkunde des Sebastianus Sartorius;Sebastianus Sartorius;Placidus;16380722;16380722;127;149;18923;Pergament;;Latein;;174;173;0002A0173000000000000;;;;;;;;"Abt: Placidus 
Abmessungen (BxH in mm): 149x127";22.07.1638;22.07.1638;22.07.1638
2;A;174;;;;;StAS 2.A.174;Professurkunde des Iodocus Clasman;Iodocus Clasman;Placidus;16400815;16400815;134;196;26264;Pergament;;Latein;;175;174;0002A0174000000000000;;;;;;;;"Abt: Placidus 
Abmessungen (BxH in mm): 196x134";15.08.1640;15.08.1640;15.08.1640
2;A;175;;;;;StAS 2.A.175;Professurkunde des Balthasarus Erlzauser;Balthasarus Erlzauser;Placidus;16401208;16401208;121;202;24442;Pergament;;Latein;;176;175;0002A0175000000000000;;;;;;;;"Abt: Placidus 
Abmessungen (BxH in mm): 202x121";08.12.1640;08.12.1640;08.12.1640
2;A;176;;;;;StAS 2.A.176;Professurkunde des Coelestinus Aumer;Coelestinus Aumer;Placidus;16441005;16441005;137;217;29729;Pergament;;Latein;;177;176;0002A0176000000000000;;;;;;;;"Abt: Placidus 
Abmessungen (BxH in mm): 217x137";05.10.1644;05.10.1644;05.10.1644
2;A;177;;;;;StAS 2.A.177;Professurkunde des Guilielmus Schweizer;Guilielmus Schweizer;Placidus;16451208;16451208;191;248;47368;Pergament;Invocatio stark verziert;Latein;;178;177;0002A0177000000000000;;;;;;;;"Abt: Placidus 
Abmessungen (BxH in mm): 248x191";08.12.1645;08.12.1645;08.12.1645
2;A;178;;;;;StAS 2.A.178;Professurkunde des Maurus Christoph;Maurus Christoph;Placidus;16460815;16460815;143;151;21593;Pergament;;Latein;;179;178;0002A0178000000000000;;;;;;;;"Abt: Placidus 
Abmessungen (BxH in mm): 151x143";15.08.1646;15.08.1646;15.08.1646
2;A;179;;;;;StAS 2.A.179;Professurkunde des Marianus Weiner;Marianus Weiner;Placidus;16461125;16461125;136;167;22712;Pergament;;Latein;;180;179;0002A0179000000000000;;;;;;;;"Abt: Placidus 
Abmessungen (BxH in mm): 167x136";25.11.1646;25.11.1646;25.11.1646
2;A;180;;;;;StAS 2.A.180;Professurkunde des Placidus Steger;Placidus Steger;Placidus;16461125;16461125;124;166;20584;Pergament;;Latein;;181;180;0002A0180000000000000;;;;;;;;"Abt: Placidus 
Abmessungen (BxH in mm): 166x124";25.11.1646;25.11.1646;25.11.1646
2;A;181;;;;;StAS 2.A.181;Professurkunde des Franciscus Lyst;Franciscus Lyst;Placidus;16470512;16470512;114;150;17100;Pergament;;Latein;;182;181;0002A0181000000000000;;;;;;;;"Abt: Placidus 
Abmessungen (BxH in mm): 150x114";12.05.1647;12.05.1647;12.05.1647
2;A;182;;;;;StAS 2.A.182;Professurkunde des Andreas Waldtmanshauser;Andreas Waldtmanshauser;Placidus;16470815;16470815;165;187;30855;Pergament;;Latein;;183;182;0002A0182000000000000;;;;;;;;"Abt: Placidus 
Abmessungen (BxH in mm): 187x165";15.08.1647;15.08.1647;15.08.1647
2;A;183;;;;;StAS 2.A.183;Professurkunde des Bonifacius Stummer;Bonifacius Stummer;Placidus;16480321;16480321;121;162;19602;Pergament;;Latein;;184;183;0002A0183000000000000;;;;;;;;"Abt: Placidus 
Abmessungen (BxH in mm): 162x121";21.03.1648;21.03.1648;21.03.1648
2;A;184;;;;;StAS 2.A.184;Professurkunde des Emmeramus Vogt;Emmeramus Vogt;Gabriel;16480901;16480901;100;152;15200;Pergament;;Latein;;185;184;0002A0184000000000000;;;;;;;;"Abt: Gabriel 
Abmessungen (BxH in mm): 152x100";01.09.1648;01.09.1648;01.09.1648
2;A;185;;;;;StAS 2.A.185;Professurkunde des Romanus Voith;Romanus Voith;Gabriel;16500921;16500921;121;176;21296;Pergament;;Latein;;186;185;0002A0185000000000000;;;;;;;;"Abt: Gabriel 
Abmessungen (BxH in mm): 176x121";21.09.1650;21.09.1650;21.09.1650
2;A;186;;;;;StAS 2.A.186;Professurkunde des Josephus Schwaiger;Josephus Schwaiger;Gabriel;16510202;16510202;115;127;14605;Pergament;;Latein;;187;186;0002A0186000000000000;;;;;;;;"Abt: Gabriel 
Abmessungen (BxH in mm): 127x115";02.02.1651;02.02.1651;02.02.1651
2;A;187;;;;;StAS 2.A.187;Professurkunde des Joannes Merck;Joannes Merck;Gabriel;16520202;16520202;167;207;34569;Pergament;;Latein;;188;187;0002A0187000000000000;;;;;;;;"Abt: Gabriel 
Abmessungen (BxH in mm): 207x167";02.02.1652;02.02.1652;02.02.1652
2;A;188;;;;;StAS 2.A.188;Professurkunde des Wolfgangus Durnegger;Wolfgangus Durnegger;Gabriel;16521221;16521221;160;167;26720;Pergament;;Latein;;189;188;0002A0188000000000000;;;;;;;;"Abt: Gabriel 
Abmessungen (BxH in mm): 167x160";21.12.1652;21.12.1652;21.12.1652
2;A;189;;;;;StAS 2.A.189;Professurkunde des Adamus Piringer;Adamus Piringer;Gabriel;16530429;16530429;173;229;39617;Pergament;;Latein;;190;189;0002A0189000000000000;;;;;;;;"Abt: Gabriel 
Abmessungen (BxH in mm): 229x173";29.04.1653;29.04.1653;29.04.1653
2;A;190;;;;;StAS 2.A.190;Professurkunde des Ildephonsus Zöch;Ildephonsus Zöch;Gabriel;16550405;16550405;73;166;12118;Pergament;;Latein;;191;190;0002A0190000000000000;;;;;;;;"Abt: Gabriel 
Abmessungen (BxH in mm): 166x73";05.04.1655;05.04.1655;05.04.1655
2;A;191;;;;;StAS 2.A.191;Professurkunde des Joachimus Harttung;Joachimus Harttung;Gabriel;16550711;16550711;136;234;31824;Pergament;;Latein;;192;191;0002A0191000000000000;;;;;;;;"Abt: Gabriel 
Abmessungen (BxH in mm): 234x136";11.07.1655;11.07.1655;11.07.1655
2;A;192;;;;;StAS 2.A.192;Professurkunde des Benedictus Abelzhauser;Benedictus Abelzhauser;Gabriel;16571125;16571125;104;165;17160;Pergament;;Latein;;193;192;0002A0192000000000000;;;;;;;;"Abt: Gabriel 
Abmessungen (BxH in mm): 165x104";25.11.1657;25.11.1657;25.11.1657
2;A;193;;;;;StAS 2.A.193;Professurkunde des Theophilius Jänckh;Theophilius Jänckh;Gabriel;16580225;16580225;130;160;20800;Pergament;;Latein;;194;193;0002A0193000000000000;;;;;;;;"Abt: Gabriel 
Abmessungen (BxH in mm): 160x130";25.02.1658;25.02.1658;25.02.1658
2;A;194;;;;;StAS 2.A.194;Professurkunde des Gregorius Nizl;Gregorius Nizl;Gabriel;16580322;16580322;121;163;19723;Pergament;;Latein;;195;194;0002A0194000000000000;;;;;;;;"Abt: Gabriel 
Abmessungen (BxH in mm): 163x121";22.03.1658;22.03.1658;22.03.1658
2;A;195;;;;;StAS 2.A.195;Professurkunde des Adalbertus Falzeder;Adalbertus Falzeder;Gabriel;16590715;16590715;121;160;19360;Pergament;;Latein;;196;195;0002A0195000000000000;;;;;;;;"Abt: Gabriel 
Abmessungen (BxH in mm): 160x121";15.07.1659;15.07.1659;15.07.1659
2;A;196;;;;;StAS 2.A.196;Professurkunde des Ignatius Arzet;Ignatius Arzet;Gabriel;16590715;16590715;131;151;19781;Pergament;;Latein;;197;196;0002A0196000000000000;;;;;;;;"Abt: Gabriel 
Abmessungen (BxH in mm): 151x131";15.07.1659;15.07.1659;15.07.1659
2;A;197;;;;;StAS 2.A.197;Professurkunde des Matthias Rittler;Matthias Rittler;Gabriel;16611016;16611016;121;200;24200;Pergament;;Latein;;198;197;0002A0197000000000000;;;;;;;;"Abt: Gabriel 
Abmessungen (BxH in mm): 200x121";16.10.1661;16.10.1661;16.10.1661
2;A;198;;;;;StAS 2.A.198;Professurkunde des Augustinus Brenz;Augustinus Brenz;Gabriel;16611016;16611016;120;202;24240;Pergament;;Latein;;199;198;0002A0198000000000000;;;;;;;;"Abt: Gabriel 
Abmessungen (BxH in mm): 202x120";16.10.1661;16.10.1661;16.10.1661
2;A;199;;;;;StAS 2.A.199;Professurkunde des HIeronymus Weissenberger;HIeronymus Weissenberger;Gabriel;16620722;16620722;115;188;21620;Pergament;;Latein;;200;199;0002A0199000000000000;;;;;;;;"Abt: Gabriel 
Abmessungen (BxH in mm): 188x115";22.07.1662;22.07.1662;22.07.1662
2;A;200;;;;;StAS 2.A.200;Professurkunde des Anselmus Sauttermaister;Anselmus Sauttermaister;Gabriel;16631208;16631208;108;145;15660;Pergament;;Latein;;201;200;0002A0200000000000000;;;;;;;;"Abt: Gabriel 
Abmessungen (BxH in mm): 145x108";08.12.1663;08.12.1663;08.12.1663
2;A;201;;;;;StAS 2.A.201;Professurkunde des Fidelis Friz;Fidelis Friz;Gabriel;16640425;16640425;105;139;14595;Pergament;;Latein;;202;201;0002A0201000000000000;;;;;;;;"Abt: Gabriel 
Abmessungen (BxH in mm): 139x105";25.04.1664;25.04.1664;25.04.1664
2;A;202;;;;;StAS 2.A.202;Professurkunde des Leopoldus Hoffman;Leopoldus Hoffman;Gabriel;16640601;16640601;117;190;22230;Pergament;;Latein;;203;202;0002A0202000000000000;;;;;;;;"Abt: Gabriel 
Abmessungen (BxH in mm): 190x117";01.06.1664;01.06.1664;01.06.1664
2;A;203;;;;;StAS 2.A.203;Professurkunde des Engelbertus Elsnigckh;Engelbertus Elsnigckh;Gabriel;16660921;16660921;101;156;15756;Pergament;;Latein;;204;203;0002A0203000000000000;;;;;;;;"Abt: Gabriel 
Abmessungen (BxH in mm): 156x101";21.09.1666;21.09.1666;21.09.1666
2;A;204;;;;;StAS 2.A.204;Professurkunde des Edmundus Sappotnigg;Edmundus Sappotnigg;Gabriel;16660921;16660921;102;153;15606;Pergament;;Latein;;205;204;0002A0204000000000000;;;;;;;;"Abt: Gabriel 
Abmessungen (BxH in mm): 153x102";21.09.1666;21.09.1666;21.09.1666
2;A;205;;;;;StAS 2.A.205;Professurkunde des Ambrosius Marholt;Ambrosius Marholt;Gabriel;16660921;16660921;101;155;15655;Pergament;;Latein;;206;205;0002A0205000000000000;;;;;;;;"Abt: Gabriel 
Abmessungen (BxH in mm): 155x101";21.09.1666;21.09.1666;21.09.1666
2;A;206;;;;;StAS 2.A.206;Professurkunde des Bernardus Leitner;Bernardus Leitner;Gabriel;16660921;16660921;102;157;16014;Pergament;;Latein;;207;206;0002A0206000000000000;;;;;;;;"Abt: Gabriel 
Abmessungen (BxH in mm): 157x102";21.09.1666;21.09.1666;21.09.1666
2;A;207;;;;;StAS 2.A.207;Professurkunde des Bonifacius Schröffl;Bonifacius Schröffl;Gabriel;16661018;16661018;93;151;14043;Pergament;;Latein;;208;207;0002A0207000000000000;;;;;;;;"Abt: Gabriel 
Abmessungen (BxH in mm): 151x93";18.10.1666;18.10.1666;18.10.1666
2;A;208;;;;;StAS 2.A.208;Professurkunde des Michael Clement;Michael Clement;Gabriel;16670101;16670101;94;152;14288;Pergament;;Latein;;209;208;0002A0208000000000000;;;;;;;;"Abt: Gabriel 
Abmessungen (BxH in mm): 152x94";01.01.1667;01.01.1667;01.01.1667
2;A;209;;;;;StAS 2.A.209;Professurkunde des Amandus Kerner;Amandus Kerner;Gabriel;16671101;16671101;108;156;16848;Pergament;;Latein;;210;209;0002A0209000000000000;;;;;;;;"Abt: Gabriel 
Abmessungen (BxH in mm): 156x108";01.11.1667;01.11.1667;01.11.1667
2;A;210;;;;;StAS 2.A.210;Professurkunde des Ernestus Weissenperger;Ernestus Weissenperger;Gabriel;16681101;16681101;96;180;17280;Pergament;;Latein;;211;210;0002A0210000000000000;;;;;;;;"Abt: Gabriel 
Abmessungen (BxH in mm): 180x96";01.11.1668;01.11.1668;01.11.1668
2;A;211;;;;;StAS 2.A.211;Professurkunde des Ioannes Gerstl;Ioannes Gerstl;Gabriel;16681101;16681101;95;178;16910;Pergament;;Latein;;212;211;0002A0211000000000000;;;;;;;;"Abt: Gabriel 
Abmessungen (BxH in mm): 178x95";01.11.1668;01.11.1668;01.11.1668
2;A;212;;;;;StAS 2.A.212;Professurkunde des Raphael Neumeister;Raphael Neumeister;Gabriel;16700224;16700224;153;145;22185;Pergament;;Deutsch;;213;212;0002A0212000000000000;;;;;;;;"Abt: Gabriel 
Abmessungen (BxH in mm): 145x153";24.02.1670;24.02.1670;24.02.1670
2;A;213;;;;;StAS 2.A.213;Professurkunde des Meinradus Higger;Meinradus Higger;Gabriel;16700815;16700815;104;146;15184;Pergament;;Latein;;214;213;0002A0213000000000000;;;;;;;;"Abt: Gabriel 
Abmessungen (BxH in mm): 146x104";15.08.1670;15.08.1670;15.08.1670
2;A;214;;;;;StAS 2.A.214;Professurkunde des Dominicus Jais;Dominicus Jais;Gabriel;16701208;16701208;85;140;11900;Pergament;;Latein;;215;214;0002A0214000000000000;;;;;;;;"Abt: Gabriel 
Abmessungen (BxH in mm): 140x85";08.12.1670;08.12.1670;08.12.1670
2;A;215;;;;;StAS 2.A.215;Professurkunde des Philibertus Magerl;Philibertus Magerl;Gabriel;16700908;16700908;101;144;14544;Pergament;;Latein;;216;215;0002A0215000000000000;;;;;;;;"Abt: Gabriel 
Abmessungen (BxH in mm): 144x101";08.09.1670;08.09.1670;08.09.1670
2;A;216;;;;;StAS 2.A.216;Professurkunde des Theophilus Wolfwiser;Theophilus Wolfwiser;Gabriel;16700908;16700908;101;146;14746;Pergament;;Latein;;217;216;0002A0216000000000000;;;;;;;;"Abt: Gabriel 
Abmessungen (BxH in mm): 146x101";08.09.1670;08.09.1670;08.09.1670
2;A;217;;;;;StAS 2.A.217;Professurkunde des Aegidius Pygl;Aegidius Pygl;Gabriel;16710815;16710815;84;141;11844;Pergament;;Latein;;218;217;0002A0217000000000000;;;;;;;;"Abt: Gabriel 
Abmessungen (BxH in mm): 141x84";15.08.1671;15.08.1671;15.08.1671
2;A;218;;;;;StAS 2.A.218;Professurkunde des Aemilianus Schadt;Aemilianus Schadt;Gabriel;16720815;16720815;136;171;23256;Pergament;;Latein;;219;218;0002A0218000000000000;;;;;;;;"Abt: Gabriel 
Abmessungen (BxH in mm): 171x136";15.08.1672;15.08.1672;15.08.1672
2;A;219;;;;;StAS 2.A.219;Professurkunde des Emmeramus Lorinz;Emmeramus Lorinz;Adamus;16751208;16751208;125;167;20875;Pergament;;Latein;;220;219;0002A0219000000000000;;;;;;;;"Abt: Adamus 
Abmessungen (BxH in mm): 167x125";08.12.1675;08.12.1675;08.12.1675
2;A;220;;;;;StAS 2.A.220;Professurkunde des Desiderius Wishoffer;Desiderius Wishoffer;Adamus;16751101;16751101;110;172;18920;Pergament;;Latein;;221;220;0002A0220000000000000;;;;;;;;"Abt: Adamus 
Abmessungen (BxH in mm): 172x110";01.11.1675;01.11.1675;01.11.1675
