MMS Record ID,HOL Record ID,Item PID, Barcode, Title, Publisher, Bib Material Type, Creator, Call Number, Permanent Call Number, Permanent Physical Location, Local Location, Holding Type, Item Material Type, Policy, Seq. Number,Chronology,Enumeration,Issue year,Description,Public note,Fulfillment note,Inventory  #,Inventory date,Shelf report #,On shelf date,On shelf seq,Last shelf report,Temp library,Temp location,Temp call # type,Temp call #,Temp item policy,Alt. call # type,Alt. call #,Pieces,Pages,Internal note (1),Internal note (2),Internal note (3),Statistics note (1),Statistics note (2),Statistics note (3),Creation date,Modification date,Status,Process type,Process Id,Number of loans,Last loan,Number of loans in house,Last loan in house,Year-to-date Loans,Receiving date,Copy ID, Receiving number, Weeding number, Weeding date, Other System Number, Committed to Retain, Retention Reason, Retention Note, Temp location in use
"'9910996109524'",'224174540009524','234174520009524',,Analecta kürzere Texte zur Geschichte der alten Kirche und des Kanons,Verlag von J.C.B. Mohr (Paul Siebeck),Book,,Tg 3.0166,Tg 3.0166,SEK,BIB,x,BOOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-21,2025-08-21,Item in place,,,0,,0,,0,,,,,,(AT-OBV)AC03811960;(DE-599)OBVAC03811960,,,,0
"'9910996209524'",'224174580009524','234174560009524',,Das Benediktinerstift St. Paul in Kärnten 1809-1909 : Festschrift zur Jahrhundertfeier der Wiederbesiedelung des Stiftes St Paul durch die Mönche von St Blasien im Schwarzwald,Herdersche Verlagshandlung,Book,,Td 3.0150,Td 3.0150,SEK,BIB,x,BOOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-21,2025-08-21,Item in place,,,0,,0,,0,,,,,,(AT-OBV)AC02216646;(DE-599)OBVAC02216646,,,,0
"'9910996309524'",'224174620009524','234174600009524',,Grundzüge des katholischen Kirchenrechtes,Moser,Book,"Haring, Johann B.",Tf 3.0049,Tf 3.0049,SEK,BIB,x,BOOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-21,2025-08-21,Item in place,,,0,,0,,0,,,,,,(AT-OBV)AC00864959;AC00864959;(Aleph)002286683ACC01;(DE-599)OBVAC00864959,,,,0
"'9910996709524'",'224174730009524','234174710009524',,Theologia Moralis,Sumptibus Herder,Book,"Lehmkuhl, Augustin 1834-1918",Th 3.0120/2,Th 3.0120/2,SEK,BIB,x,BOOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-21,2025-08-21,Item in place,,,0,,0,,0,,,,,,(AT-OBV)AC17388221;(DE-627)1115257617;(DE-576)045257612;(DE-599)BSZ045257612,,,,0
"'9910996809524'",'224174770009524','234174750009524',,"Le livre d'Héraclide de Damas avec le concours du R. P. Bedjan et de M. Brière suivi du texte grec des 3 homélies de Nestorius sur les tentations de Notre-Seigneur et des 3 app.: Lettre à Cosme, presents envoyés d'Alexandrie, Lettre de Nestorius aux habitants de Constantinople",Letouzey et Ané,Book,Nestorius Constantinopolitanus ca. um 381-451,Tb 3.0100,Tb 3.0100,SEK,BIB,x,BOOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-21,2025-08-21,Item in place,,,0,,0,,0,,,,,,(AT-OBV)AC08466327;AC08466327;(Aleph)008484761ACC01;(DE-599)BVBBV005090905;(DE-604)050909053,,,,0
"'9910996909524'",'224174810009524','234174790009524',,Der Einfluß Platos auf die Theologie Justins des Märtyrers eine dogmengeschichtliche Untersuchung nebst einem Anhang über die Komposition der Apologien Justins,Druck und Verlag von Ferdinand Schöningh,Book,"Pfättisch, Joannes Maria 1877-1922",Tb 3.0136,Tb 3.0136,SEK,BIB,x,BOOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-21,2025-08-21,Item in place,,,0,,0,,0,,,,,,(AT-OBV)AC06567708;AC06567708;(Aleph)006467384ACC01;(DE-599)BVBBV003121175;(DE-604)031211755,,,,0
"'9910997009524'",'224174850009524','234174830009524',,Lettres choisies de Saint Jérôme,Gigord,Book,"Hieronymus, Sophronius Eusebius 345-420",Tb 3.0150,Tb 3.0150,SEK,BIB,x,BOOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-21,2025-08-21,Item in place,,,0,,0,,0,,,,,,(AT-OBV)AC17615772;(DE-627)1178651053;(DE-576)108651053;(DE-599)BSZ108651053;(OCoLC)314369070,,,,0
"'9910997109524'",'224174890009524','234174870009524',,Didyme l'Aveugle,Beauchesne,Book,"Bardy, Gustave 1881-1955",Tb 3.0183,Tb 3.0183,SEK,BIB,x,BOOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-21,2025-08-21,Item in place,,,0,,0,,0,,,,,,(AT-OBV)AC09397789;AC09397789;(Aleph)009434301ACC01;(DE-599)OBVAC09397789;(DE-604)086575074,,,,0
"'9910997309524'",'224174920009524','234174910009524',,Apologetische Abhandlungen Lebensfragen,Druck und Verlag von Ferdinand Schöningh,Book,"Klug, Ignaz 1877-1929",Tb 3.0242,Tb 3.0242,SEK,BIB,x,BOOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-21,2025-08-21,Item in place,,,0,,0,,0,,,,,,(AT-OBV)AC16778183;(OCoLC)314674657;(DE-599)BVBBV012538648;(DE-604)BV012538648,,,,0
"'9910997309524'",'224174960009524','234174940009524',,Apologetische Abhandlungen Lebensfragen,Druck und Verlag von Ferdinand Schöningh,Book,"Klug, Ignaz 1877-1929",Ta 4.0011/3,Ta 4.0011/3,SEK,BIB,x,BOOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-21,2025-08-21,Item in place,,,0,,0,,0,,,,,,(AT-OBV)AC16778183;(OCoLC)314674657;(DE-599)BVBBV012538648;(DE-604)BV012538648,,,,0
"'9910997409524'",'224175000009524','234174980009524',,Der Sozialismus eine Untersuchung seiner Grundlagen und seiner Durchführbarkeit,Herder,Book,"Cathrein, Victor 1845-1931",Ta 3.0245,Ta 3.0245,SEK,BIB,x,BOOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-21,2025-08-21,Item in place,,,0,,0,,0,,,,,,(AT-OBV)AC05322584;AC05322584;(Aleph)005251382ACC01;(DE-599)OBVAC05322584;(DE-604)030960797,,,,0
"'9910997509524'",'224175040009524','234175020009524',,Urkirche und Katholizismus,Kösel,Book,"Batiffol, Pierre 1861-1929",Ta 3.0268,Ta 3.0268,SEK,BIB,x,BOOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-21,2025-08-21,Item in place,,,0,,0,,0,,,,,,(AT-OBV)AC02298674;AC02298674;(Aleph)001518079ACC01;(DE-599)OBVAC02298674,,,,0
"'9910997609524'",'224175080009524','234175060009524',,Das Zeichen des echten Ringes,Walther,Book,"Ruville, Albert <<von>> 1855-1934",Ta 3.0287,Ta 3.0287,SEK,BIB,x,BOOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-21,2025-08-21,Item in place,,,0,,0,,0,,,,,,(AT-OBV)AC06727720;AC06727720;(Aleph)006655159ACC01;(DE-599)OBVAC06727720,,,,0
"'9910997709524'",'224175120009524','234175100009524',,Der Spiritismus,Benziger,Book,"Gander, Martin",Ta 3.0332,Ta 3.0332,SEK,BIB,x,BOOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-21,2025-08-21,Item in place,,,0,,0,,0,,,,,,(AT-OBV)AC06679501;AC06679501;(Aleph)006606980ACC01;(DE-599)OBVAC06679501,,,,0
"'9910997809524'",'224175160009524','234175140009524',,Die Hauptprobleme der Weltanschauung,Kösel & Pustet,Book,"Klimke, Friedrich August 1878-1924",Ta 3.0336,Ta 3.0336,SEK,BIB,x,BOOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-21,2025-08-21,Item in place,,,0,,0,,0,,,,,,(AT-OBV)AC02209100;AC02209100;(Aleph)001333900ACC01;(DE-599)OBVAC02209100,,,,0
"'9910997909524'",'224175200009524','234175180009524',,Zurück zur heiligen Kirche Erlebnisse und Erkenntnisse eines Convertiten,Walther,Book,"Ruville, Albert <<von>> 1855-1934",Ta 3.0448,Ta 3.0448,SEK,BIB,x,BOOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-21,2025-08-21,Item in place,,,0,,0,,0,,,,,,(AT-OBV)AC09380418;AC09380418;(Aleph)009417010ACC01;(DE-599)OBVAC09380418,,,,0
"'9910998009524'",'224175240009524','234175220009524',,La résurrection de Jésus suivie de deux appendices sur la crucification et l'ascension,Beauchesne,Book,"Mangenot, Eugène",Ta 3.0471,Ta 3.0471,SEK,BIB,x,BOOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-21,2025-08-21,Item in place,,,0,,0,,0,,,,,,(AT-OBV)AC13426271;AC13426271;(Aleph)013196290ACC01;(DE-599)OBVAC13426271;(DE-604)142110639,,,,0
"'9910998209524'",'224175290009524','234175270009524',,Salzburger Urkundenbuch,im Selbstverlage der Gesellschaft für Salzburger Landeskunde,Book,,Tc 2.0027/1,Tc 2.0027/1,SEK,BIB,x,BOOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-21,2025-08-21,Item in place,,,0,,0,,0,,,,,,(AT-OBV)AC01749428;AC01749428;(Aleph)000766604ACC01;(DE-599)OBVAC01749428,,,,0
